conf_id,conf_name,conference_short_name
3,Atlantic 10 Conference,A-10
2,Atlantic Coast Conference,ACC
1,America East Conference,Am. East
62,American Athletic Conference,American
46,ASUN Conference,ASUN
8,Big 12 Conference,Big 12
4,Big East Conference,Big East
5,Big Sky Conference,Big Sky
6,Big South Conference,Big South
7,Big Ten Conference,Big Ten
9,Big West Conference,Big West
10,Coastal Athletic Association,CAA
11,Conference USA,CUSA
45,Horizon League,Horizon
43,Independent,IND
12,Ivy League,Ivy
13,Metro Atlantic Athletic Conference,MAAC
14,Mid-American Conference,MAC
16,Mid-Eastern Athletic Conference,MEAC
44,Mountain West Conference,Mountain West
18,Missouri Valley Conference,MVC
19,Northeast Conference,NEC
20,Ohio Valley Conference,OVC
21,Pac-12 Conference,Pac-12
22,Patriot League,Patriot
23,Southeastern Conference,SEC
24,Southern Conference,SoCon
25,Southland Conference,Southland
47,Summit League,Summit
49,Summit League,Summit
27,Sun Belt Conference,Sun Belt
26,Southwestern Athletic Conference,SWAC
30,Western Athletic Conference,WAC
29,West Coast Conference,WCC
